tree_id	rho	n_full	n_sampled	tree_full	tree_sampled
s16_c8	1	11	11	((((216_1:16,216_2:16):46,(216_3:19,216_4:19):43):56,((216_5:10,216_6:10):47,(216_7:1,216_8:1):56):61):56,(150_3:57,(216_9:61,(216_10:15,216_11:15):45):61):53);	((((1_2102111221:16,2_2102111211:16):46,(3_2102111011:19,4_2102111011:19):43):56,((5_1110001221:10,6_1110001221:10):47,(7_1111201221:1,8_1111201221:1):56):61):56,(9_1122011111:61,(10_1122011111:15,11_1122011111:15):45):114);
s16_c9	1	4	4	(((215_1:99,(204_2:16,209_2:21):71):61,((216_1:30,216_2:30):63,(216_3:33,216_4:33):60):67):52,(((210_6:48,211_6:49):52,186_9:77):59,140_7:91):47);	((1_2212110021:30,2_2212110021:30):63,(3_2222111121:33,4_2102111021:33):60);
s17_c1	1	20	20	(((((216_8:34,216_9:34):45,183_11:47):45,((216_10:26,216_11:26):53,(216_12:32,216_13:32):47):45):42,(((216_14:22,216_15:22):54,(216_16:19,207_17:10):57):43,((216_17:16,216_18:16):59,(216_19:26,216_20:26):49):44):47):45,(((216_1:46,192_2:22):54,(216_2:48,216_3:48):52):67,((216_4:43,216_5:43):67,(216_6:46,216_7:46):64):57):45);	((((1_2101001000:34,2_1111001000:34):90,((3_2102101000:26,4_2111101021:26):53,(5_1112011020:32,6_2102111221:32):47):45):42,(((7_1102211001:22,8_1112211200:22):54,9_0102211000:76):43,((10_1101001201:16,11_1111001201:16):59,(12_2100101020:26,13_2011102221:26):49):44):47):45,((14_1100001000:100,(15_1112011021:48,16_0102011021:48):52):67,((17_2102111000:43,18_1111001010:43):67,(19_1110201021:46,20_1102011221:46):64):57):45);
s18_c1	0.94	16	15	((((216_1:21,216_2:21):59,(216_3:6,216_4:6):74):58,((216_5:16,216_6:16):63,(216_7:15,216_8:15):64):59):50,(((216_9:25,216_10:25):54,(216_11:30,216_12:30):49):51,((216_13:30,216_14:30):52,(216_15:34,216_16:34):48):48):58);	((((1_0111001211:21,2_0111001211:21):59,(3_0112011000:6,4_2102011000:6):74):58,((5_1111001201:16,6_1111001201:16):63,(7_1111001201:15,8_1111001201:15):64):59):50,(((9_1110201001:25,10_1111201001:25):54,(11_0112211001:30,12_0101201001:30):49):51,(14_1110001211:82,(15_0111001211:34,16_2100101000:34):48):48):58);
s18_c2	1	21	21	(((((216_1:19,216_2:19):55,(216_3:15,216_4:15):59):52,(184_3:31,184_4:31):64):49,(((216_5:30,216_6:30):52,(216_7:35,216_8:35):47):48,((216_9:37,216_10:37):47,(216_11:40,216_12:40):44):46):45):36,(((216_13:75,(216_14:24,216_15:24):50):48,(214_16:59,(216_16:9,216_17:9):51):62):50,((190_15:46,187_16:43):44,((216_18:30,216_19:30):42,(216_20:34,216_21:34):38):43):57):39);	((((1_2112111221:19,2_2112111221:19):55,(3_2102111000:15,4_2102111221:15):59):101,(((5_0102011000:30,6_0112011011:30):52,(7_2102111200:35,8_2102111221:35):47):48,((9_2122111111:37,10_2102111211:37):47,(11_2102111000:40,12_2112111211:40):44):46):45):36,(((13_1000002221:75,(14_1000000221:24,15_1000000221:24):50):48,(16_1000000021:9,17_1100000021:9):113):50,((18_1100001000:30,19_2100101000:30):42,(20_1110001211:34,21_1110001211:34):38):100):39);
s19_c1	0.86	14	12	((((216_1:43,216_2:43):50,(216_3:42,216_4:42):51):43,((216_5:32,216_6:32):57,(216_7:33,216_8:33):56):47):46,(((216_9:12,216_10:12):42,(216_11:9,216_12:9):45):58,((214_13:6,214_14:6):47,(216_13:5,216_14:5):50):57):70);	((((1_0100000022:43,2_0000000022:43):50,(3_0000001022:42,4_0000000022:42):51):43,((5_0100000222:32,6_0000000222:32):57,(7_0000000222:33,8_0000000222:33):56):47):46,((9_1101001011:12,10_1111001011:12):42,(11_1111101011:9,12_1111001011:9):45):128);
s19_c2	0.83	18	15	(((155_1:32,160_1:37):52,((209_1:30,216_1:37):55,(216_2:20,216_3:20):72):52):58,((((216_4:19,216_5:19):40,(216_6:21,216_7:21):38):42,((216_8:17,216_9:17):37,(216_10:9,216_11:9):45):47):44,((216_12:48,(216_13:11,216_14:11):36):50,((216_15:8,216_16:8):45,(216_17:13,216_18:13):40):44):48):56);	(2_2120101101:202,((((4_2020102101:19,5_2020102101:19):40,(6_2120102101:21,7_2020102101:21):38):42,((8_2020102101:17,9_2020102101:17):37,(10_2020102101:9,11_2020102101:9):45):47):44,((13_2120101100:11,14_2100101000:11):86,((15_0100201001:8,16_0100201001:8):45,(17_0100201001:13,18_0100201001:13):40):44):48):56);
s19_c3	0.7	10	7	(((216_1:86,216_2:86):62,(194_3:62,213_3:81):64):46,(((216_3:33,216_4:33):55,(216_5:38,216_6:38):50):56,((216_7:35,216_8:35):52,(216_9:37,216_10:37):50):57):49);	(2_1111101001:194,((3_0111001221:88,(5_2111101011:38,6_1111001011:38):50):56,((7_1112201201:35,8_1111101000:35):52,9_1101001001:87):57):49);
s19_c4	0.88	16	14	((((216_1:36,216_2:36):47,(216_3:24,216_4:24):59):49,((216_5:25,216_6:25):48,(216_7:23,216_8:23):50):59):47,(((216_9:25,216_10:25):42,(216_11:23,216_12:23):44):63,((216_13:39,216_14:39):42,(216_15:35,216_16:35):46):49):49);	((((1_2111101000:36,2_2100101000:36):47,(3_1111101001:24,4_2102011000:24):59):49,((5_2100101000:25,6_2100101000:25):48,(7_2100101000:23,8_1101101001:23):50):59):47,((9_1101001000:25,10_1111101001:25):105,((13_2111101000:39,14_2100101000:39):42,(15_1111001001:35,16_1111001011:35):46):49):49);
s2_c1	0.74	46	34	((((((216_15:16,216_16:16):46,(216_17:17,216_18:17):45):47,((216_19:13,216_20:13):45,(216_21:11,216_22:11):47):51):51,(((216_23:6,216_24:6):48,(216_25:8,216_26:8):46):45,((216_27:13,216_28:13):41,(216_29:10,216_30:10):44):45):61):39,((((216_31:12,216_32:12):39,(216_33:13,216_34:13):38):46,((216_35:7,216_36:7):40,(216_37:4,216_38:4):43):50):56,(((216_39:7,216_40:7):37,(216_41:4,216_42:4):40):49,((216_43:8,216_44:8):42,(216_45:4,216_46:4):46):43):60):46):11,((((216_1:40,(216_2:3,216_3:3):36):49,((216_4:1,216_5:1):36,(216_6:2,216_7:2):35):51):55,(((216_8:2,216_9:2):40,216_10:43):48,((216_11:3,216_12:3):43,(216_13:1,216_14:1):45):44):53):49,(177_8:92,171_7:86):64):18);	((((((1_1111011221:16,3_1111011201:16):46,6_1111011221:62):47,((7_1110111221:13,8_1110111221:13):45,(9_1110111121:11,10_1110111121:11):47):51):51,(11_1112111111:99,(12_1111111211:54,(13_1111111211:10,14_1111111211:10):44):45):61):39,(((15_1111111111:12,16_1111111111:12):85,(18_1112111121:7,19_1112111121:7):90):56,(((20_0111211001:7,21_0111211001:7):37,(22_1111111101:4,26_1110111021:4):40):49,((27_1110212021:8,29_1110212021:8):42,(30_2222210021:4,31_2222110000:4):46):43):60):46):11,(((32_1112111021:40,35_1102111200:39):49,(36_1100000000:2,39_1100100000:2):86):55,(((40_1110111221:2,41_1110111221:2):40,42_1110111221:43):48,((43_1110111221:3,44_1110111221:3):43,(45_1110111221:1,46_1100111221:1):45):44):53):67);
s2_c10	0.63	19	12	(((((216_1:6,216_2:6):43,(216_3:8,216_4:8):41):44,((216_5:5,216_6:5):41,(216_7:5,216_8:5):41):47):49,((216_9:38,216_10:38):53,216_11:92):52):46,(((216_12:29,216_13:29):56,(216_14:36,216_15:36):49):53,((216_16:31,216_17:31):47,(216_18:29,216_19:29):49):60):51);	(((((1_0220010221:6,2_0220010221:6):43,(3_0220010221:8,4_0220010221:8):41):44,(5_0020010221:5,6_0020010221:5):88):49,((9_0100000020:38,10_0100000020:38):53,11_0100000020:92):52):46,(13_2122110000:85,(14_2122112200:36,15_2122112200:36):49):104);
s2_c2	0.81	16	13	((((216_1:33,216_2:33):48,(216_3:28,216_4:28):53):50,((216_5:29,216_6:29):49,(216_7:31,216_8:31):47):53):51,(((216_9:35,216_10:35):43,(216_11:29,216_12:29):49):50,((216_13:18,216_14:18):46,(216_15:18,216_16:18):46):64):54);	((((1_1112210221:33,2_1112210221:33):48,(3_1102210221:28,4_2112210221:28):53):50,(7_1000000221:31,8_1000000221:31):100):51,(((9_2122011221:35,10_2122011221:35):43,(11_2022011221:29,12_2122011221:29):49):50,(13_2122011221:64,(15_2100111221:18,16_2100111221:18):46):64):54);
s2_c4	0.77	13	10	((((216_1:33,216_2:33):55,(216_3:37,216_4:37):51):50,128_3:52):63,(((216_5:27,216_6:27):61,(216_7:23,216_8:23):65):58,((216_9:47,216_10:47):48,(216_11:48,(216_12:0,216_13:0):47):47):51):55);	(((1_2122212001:33,2_2122211221:33):55,4_2122210001:88):113,((5_2111212021:88,(7_2112211021:23,8_2112211021:23):65):58,((9_2112211001:47,10_2112111001:47):48,(11_2111112021:48,13_2111211021:47):47):51):55);
s2_c5	0.69	13	9	((((216_1:13,216_2:13):46,(216_3:12,216_4:12):47):80,(216_5:69,(216_6:20,216_7:20):48):71):52,((216_8:91,216_9:91):54,((216_10:34,216_11:34):54,(216_12:32,216_13:32):56):56):47);	((((1_2111211221:13,2_2111211221:13):46,4_1112001001:59):80,(5_0112011221:69,7_2112112221:68):71):52,((10_2111012221:34,11_2111011221:34):54,(12_2111212221:32,13_2211212221:32):56):103);
s2_c6	0.74	35	26	(((((216_1:43,216_2:43):42,(211_3:28,212_3:29):52):50,((216_3:32,204_6:20):52,(216_4:26,216_5:26):58):51):63,((((216_6:5,216_7:5):43,(216_8:6,216_9:6):42):47,(216_10:45,216_11:45):51):54,(((216_12:7,216_13:7):48,216_14:56):41,(216_15:39,216_16:39):58):53):48):13,(((((216_17:31,216_18:31):44,(216_19:31,216_20:31):44):35,((216_21:24,210_23:18):38,(216_22:14,216_23:14):48):48):38,(211_26:97,((216_24:13,216_25:13):41,(216_26:17,216_27:17):37):46):48):38,((((193_27:0,216_28:23):3,216_29:27):71,(199_30:37,208_31:46):44):47,((216_30:45,216_31:45):54,((216_32:6,216_33:6):41,(216_34:7,216_35:7):40):51):46):42):24);	((4_1111211221:198,(((6_0112110211:5,7_0112110211:5):43,(8_0110111211:6,9_0110111211:6):42):47,(10_0111011221:45,11_0110011221:45):51):102):13,(((((17_0000111111:31,18_0000111111:31):44,(19_0000111111:31,20_0000111111:31):44):35,(21_0000111111:62,(22_0000111121:14,23_0000111121:14):48):48):38,((24_0000211121:13,25_0000211121:13):41,(26_0000111121:17,27_0100111121:17):37):94):38,((28_2111211111:26,29_1111211101:27):118,((30_1112211200:45,31_1112211221:45):54,((32_0112111221:6,33_0112110221:6):41,(34_2112111221:7,35_2112111201:7):40):51):46):42):24);
s2_c8	0.44	25	11	((((216_1:50,(216_2:3,216_3:3):46):55,((216_4:1,216_5:1):55,(216_6:10,216_7:10):46):48):46,(((216_8:11,216_9:11):51,(216_10:16,216_11:16):46):46,((216_12:10,216_13:10):54,(216_14:8,216_15:8):56):44):42):47,(((216_16:61,(216_17:5,216_18:5):55):45,((216_19:0,216_20:0):54,216_21:55):51):47,((216_22:35,216_23:35):67,(216_24:40,216_25:40):62):51):45);	(((1_2111111101:50,(2_1112211101:3,3_0111211101:3):46):55,((4_0111211221:1,5_0111211221:1):55,(6_0000100021:10,7_0000100021:10):46):48):46,((12_2022111221:10,13_2002111221:10):54,(14_0110111221:8,15_0120111221:8):56):86);
s2_c9	0.59	22	13	(((216_1:49,216_2:49):84,((216_3:29,216_4:29):62,(216_5:35,216_6:35):56):41):39,((((216_7:10,216_8:10):40,(216_9:13,216_10:13):37):39,((216_11:6,216_12:6):44,(216_13:14,216_14:14):36):39):40,(((216_15:15,216_16:15):34,(216_17:10,216_18:10):39):39,((216_19:12,216_20:12):37,(216_21:14,216_22:14):35):39):41):41);	(((8_0112210201:50,(9_0112211201:13,10_0112211201:13):37):39,((11_0102211221:6,12_0112211201:6):44,13_0112211201:50):39):40,((15_1000111221:49,(17_1000111221:10,18_1000111221:10):39):39,((19_1112111221:12,20_1112111221:12):37,(21_1112111221:14,22_1112111221:14):35):39):41);
s20_c1	0.82	11	9	((100_1:13,100_2:13):43,((((216_1:5,216_2:5):35,(216_3:5,216_4:5):35):37,((216_5:1,216_6:1):36,216_7:38):40):32,((216_8:25,216_9:25):42,(216_10:30,216_11:30):37):43):60);	((((1_1110002211:5,2_1110001211:5):35,(3_1110001211:5,4_2102101000:5):35):37,7_1111001201:78):32,((8_1110201201:25,9_1110201201:25):42,(10_1110001201:30,11_2100101001:30):37):43);
s20_c2	0.9	21	19	((((216_1:54,216_2:54):54,((216_3:3,216_4:3):52,216_5:56):52):46,(((216_6:8,216_7:8):51,(216_8:6,216_9:6):53):48,((216_10:12,216_11:12):47,(216_12:14,216_13:14):45):48):46):42,(((216_14:35,216_15:35):49,(216_16:38,216_17:38):46):56,((216_18:36,216_19:36):52,(216_20:40,216_21:40):48):52):56);	(((1_1111001011:108,((3_1111001011:3,4_1111001011:3):52,5_1111001011:56):52):46,(((6_1111101011:8,7_1111011011:8):51,(8_1111101011:6,9_1111001011:6):53):48,(11_1111001011:59,(12_1111001011:14,13_1111001011:14):45):48):46):42,(((14_1112011011:35,15_1111101011:35):49,(16_1111001011:38,17_1111001011:38):46):56,((18_1111001011:36,19_1111101011:36):52,(20_2101101001:40,21_1111001011:40):48):52):56);
s20_c3	1	8	8	((99_1:20,99_2:20):43,(((216_1:14,216_2:14):69,(216_3:22,216_4:22):61):52,((216_5:31,216_6:31):54,(216_7:33,216_8:33):52):50):43);	(((1_2100101000:14,2_0100001000:14):69,(3_2102111000:22,4_2100101020:22):61):52,((5_2112111201:31,6_1112011201:31):54,(7_2122111221:33,8_2112111221:33):52):50);
s20_c4	0.91	11	10	((((216_1:36,216_2:36):66,(216_3:22,216_4:22):80):52,(((216_5:16,216_6:16):48,(216_7:18,216_8:18):46):44,((213_9:3,213_10:3):53,(216_9:11,216_10:11):48):49):45):43,((179_7:62,(189_8:18,192_8:21):53):49,((216_11:38,215_12:37):53,(215_13:34,215_14:34):56):56):50);	(((1_1112211001:36,2_1112211001:36):66,(3_0122211101:22,4_0122211101:22):80):52,(((5_2100101000:16,6_2100101000:16):48,(7_2100101000:18,8_2100101000:18):46):44,(9_2100101000:11,10_2100101000:11):97):45);
s20_c5	1	14	14	((((193_1:57,186_2:50):60,(216_1:79,212_2:75):61):47,(((216_2:38,216_3:38):50,(210_5:24,216_4:30):58):54,(216_5:85,216_6:85):58):44):25,(((216_7:89,215_8:88):53,((216_8:34,216_9:34):51,216_10:86):56):42,((183_15:57,187_15:61):54,((216_11:24,216_12:24):60,(216_13:23,216_14:23):61):59):40):28);	((1_2000100000:187,(((2_2202112221:38,3_2202112221:38):50,4_2202112221:88):54,(5_0122211221:85,6_2122111221:85):58):44):25,((7_0102212101:142,((8_2112111221:34,9_2102111200:34):51,10_2212111221:86):56):42,((11_0122011221:24,12_0112011221:24):60,(13_0110001201:23,14_0110001201:23):61):99):28);
s20_c6	0.57	21	12	(((((216_1:14,216_2:14):44,(216_3:5,216_4:5):53):64,(216_5:72,(216_6:8,216_7:8):63):51):43,((216_8:49,216_9:49):61,(216_10:58,216_11:58):52):56):45,((154_6:62,(195_9:60,(216_12:39,216_13:39):41):42):44,(((216_14:21,216_15:21):50,(216_16:25,216_17:25):46):53,((216_18:31,216_19:31):49,(216_20:36,216_21:36):44):44):42):44);	((((1_0222010100:14,2_0122011100:14):44,(3_0112211200:5,4_0112011200:5):53):107,((8_2101101001:49,9_2111101011:49):61,(10_1111101011:58,11_1111201001:58):52):56):45,((12_1222010102:39,13_1202010002:39):127,(16_0112011200:124,19_2112111221:124):42):44);
s20_c7	0.5	6	3	(((216_1:47,(216_2:0,216_3:0):46):116,((205_3:35,203_4:33):57,166_3:54):59):49,(((216_4:38,216_5:38):59,216_6:98):61,(165_6:37,165_7:37):71):53);	(1_2100101021:212,(4_0110201221:38,5_2100101000:38):173);
s21_c1	0.93	14	13	((((216_1:34,216_2:34):60,(216_3:43,216_4:43):51):58,((216_5:38,216_6:38):46,(216_7:31,216_8:31):53):68):43,(((216_9:38,216_10:38):45,(216_11:31,216_12:31):52):71,((216_13:14,216_14:14):53,207_15:59):87):41);	((((1_0000000021:34,2_0000000021:34):60,(3_0000000021:43,4_0000000021:43):51):58,(5_2100101000:84,(7_2100101001:31,8_2100001001:31):53):68):43,(((9_2100101000:38,10_2100101000:38):45,(11_0100001000:31,12_2100101000:31):52):71,(13_2100101000:14,14_0100001000:14):140):41);
s21_c3	0.69	16	11	((((216_1:21,216_2:21):60,(216_3:22,216_4:22):59):57,((216_5:25,216_6:25):59,(216_7:32,216_8:32):52):54):48,(((216_9:29,216_10:29):67,(216_11:24,216_12:24):72):51,((216_13:36,216_14:36):60,(216_15:36,216_16:36):60):51):39);	((3_1111001001:138,(5_2112111011:84,(7_1111101011:32,8_1111001011:32):52):54):48,(((9_2112111211:29,10_1111001001:29):67,(11_0112011012:24,12_1112011012:24):72):51,((13_1111201001:36,14_1122111121:36):60,16_2100101000:96):51):39);
s21_c4	1	32	32	(((((216_1:16,216_2:16):43,(216_3:17,216_4:17):42):46,((216_5:22,216_6:22):39,(216_7:20,216_8:20):41):44):48,(((216_9:16,216_10:16):40,(216_11:14,216_12:14):42):49,((216_13:8,216_14:8):44,(216_15:10,216_16:10):42):53):48):45,((((216_17:14,216_18:14):40,(216_19:13,216_20:13):41):47,((216_21:5,216_22:5):48,(216_23:0,216_24:0):53):48):51,(((216_25:21,216_26:21):42,(216_27:15,216_28:15):48):45,((216_29:22,216_30:22):43,(216_31:18,216_32:18):47):43):44):46);	(((((1_2110101021:16,2_2110101021:16):43,(3_2110101021:17,4_2110101021:17):42):46,((5_2100101221:22,6_2100101221:22):39,(7_2100101221:20,8_2100101221:20):41):44):48,(((9_0112011012:16,10_0112011012:16):40,(11_0112011012:14,12_0112011012:14):42):49,((13_0112011012:8,14_0112011012:8):44,(15_0112011012:10,16_0112011012:10):42):53):48):45,((((17_2121101100:14,18_2111101201:14):40,(19_0111001221:13,20_0111001221:13):41):47,((21_0122211121:5,22_0122211121:5):48,(23_2212112221:0,24_2212112221:0):53):48):51,(((25_2100101000:21,26_2112111211:21):42,(27_2112111211:15,28_2112111211:15):48):45,((29_0122211221:22,30_0122211111:22):43,(31_1121101111:18,32_1121001111:18):47):43):44):46);
s21_c5	0.59	22	13	((((216_1:44,216_2:44):53,162_2:44):48,((216_3:50,216_4:50):52,(206_5:42,(216_5:6,216_6:6):45):50):43):50,((((216_7:24,216_8:24):40,(216_9:25,216_10:25):39):46,((216_11:27,216_12:27):44,(216_13:26,216_14:26):45):39):45,(((216_15:9,216_16:9):48,(216_17:12,216_18:12):45):46,((216_19:6,216_20:6):47,(216_21:13,216_22:13):40):50):52):39);	(((1_2111101221:44,2_1112211000:44):101,((3_0110101001:50,4_1110001021:50):52,5_2100101000:101):43):50,((((7_1111001201:24,8_1111001221:24):40,(9_1111001221:25,10_1111001221:25):39):46,(11_2112111221:71,(13_1111001221:26,14_1111001201:26):45):39):45,22_2100101000:155):39);
s3_c1	0.53	19	10	(((((216_1:20,216_2:20):33,(216_3:13,216_4:13):40):39,(216_5:42,(216_6:1,216_7:1):40):51):52,144_3:75):47,((((216_8:1,216_9:1):44,(216_10:3,216_11:3):42):47,((216_12:12,216_13:12):37,(216_14:6,216_15:6):43):43):53,((216_16:35,216_17:35):46,(216_18:20,216_19:20):61):65):46);	((4_0120111100:92,(5_1120111100:42,7_1120111101:41):51):99,(((8_1101001201:1,9_1111001201:1):91,(13_0111011101:49,14_0111011001:49):43):53,(16_2102011221:81,(18_2102011221:20,19_2102011221:20):61):65):46);
s3_c3	1	10	10	(((216_1:28,216_2:28):50,(216_3:27,216_4:27):51):58,(((216_5:10,216_6:10):35,(216_7:8,216_8:8):37):42,(216_9:38,216_10:38):50):48);	(((1_1112001011:28,2_1112111211:28):50,(3_0112111211:27,4_1112111211:27):51):58,(((5_2110211021:10,6_2110211021:10):35,(7_2110211021:8,8_2110211021:8):37):42,(9_1111212021:38,10_1111212121:38):50):48);
s3_c5	1	10	10	((((216_1:28,216_2:28):60,(216_3:30,216_4:30):58):59,((216_5:27,216_6:27):59,(211_7:24,211_8:24):57):61):49,(126_3:53,((216_7:6,216_8:6):65,(216_9:13,216_10:13):58):70):55);	((((1_0201000201:28,2_0101000000:28):60,(3_0201010201:30,4_0201010201:30):58):59,(5_2122211021:27,6_2202011221:27):120):49,((7_0112210021:6,8_0112211021:6):65,(9_0100011021:13,10_0112011021:13):58):125);
s4_c1	0.5	16	8	((((184_5:37,196_5:49):47,(195_6:43,205_8:53):52):47,(((216_9:6,216_10:6):46,(216_11:11,216_12:11):41):50,((216_13:11,216_14:11):43,(216_15:11,216_16:11):43):48):60):49,((((216_1:12,216_2:12):36,(216_3:7,216_4:7):41):53,((216_5:12,216_6:12):41,(216_7:18,216_8:18):35):48):64,99_2:51):46);	(((9_2121212001:6,10_2121212001:6):46,(11_2121211201:11,12_2121211201:11):41):50,((13_2122111221:11,14_2122111221:11):43,(15_2122111221:11,16_2122111221:11):43):48);
s4_c10	0.57	21	12	((((216_1:42,216_2:42):43,((216_3:5,216_4:5):38,(216_5:2,216_6:2):41):41):45,(169_3:33,163_4:27):51):51,((((216_7:8,216_8:8):35,216_9:44):40,((216_10:6,216_11:6):37,(216_12:9,216_13:9):34):40):48,(((216_14:2,216_15:2):39,(216_16:6,216_17:6):35):42,((216_18:0,216_19:0):37,(216_20:0,216_21:0):37):46):48):49);	((4_1111111111:43,(5_1111111111:2,6_1111111111:2):41):137,(((7_1111111001:8,8_1111111111:8):75,10_1111111111:83):48,(((14_2111111111:2,15_2111111111:2):39,16_2111111111:41):42,((18_2111111111:0,19_2111111111:0):37,21_2111111111:37):46):48):49);
s4_c3	0.58	24	14	(((((216_1:11,216_2:11):46,(216_3:7,216_4:7):50):63,((216_5:9,216_6:9):51,(216_7:8,216_8:8):52):60):56,(((216_9:1,216_10:1):57,(216_11:8,216_12:8):50):66,((216_13:1,216_14:1):55,216_15:57):68):52):35,(((216_16:54,(216_17:0,216_18:0):53):64,((216_19:9,216_20:9):50,(216_21:13,216_22:13):46):58):54,((201_13:6,202_13:7):58,(216_23:28,216_24:28):51):93):40);	((((9_2112012221:1,10_2112012221:1):57,(11_2112212221:8,12_2112212221:8):50):66,((13_1122012001:1,14_1122012001:1):55,15_0122012201:57):68):87,((16_0122012000:54,(17_0122012000:0,18_0122012000:0):53):64,((19_2112212211:9,20_2112212211:9):50,(21_2112202201:13,22_2112212211:13):46):58):94);
s4_c4	0.71	7	5	((114_1:30,115_1:31):53,(((216_1:19,216_2:19):48,(216_3:18,216_4:18):49):60,((216_5:20,216_6:20):44,(211_7:9,216_7:14):50):63):56);	((3_1111111011:18,4_1111111111:18):109,((5_2111111211:20,6_2111111211:20):44,7_2111111121:64):63);
s4_c5	0.41	22	9	((131_1:76,(((216_1:4,216_2:4):60,(216_3:10,216_4:10):54):39,(209_4:44,216_5:51):53):55):53,(((((216_6:3,216_7:3):34,216_8:38):38,(216_9:31,216_10:31):45):45,((216_11:25,216_12:25):45,(216_13:21,216_14:21):49):51):48,(((216_15:17,216_16:17):44,(216_17:27,216_18:27):34):49,((216_19:13,216_20:13):43,(216_21:23,216_22:23):33):54):59):42);	(4_1111111111:211,(((15_0112012201:17,16_0110012201:17):44,(17_0120012201:27,18_0120012201:27):34):49,((19_2220212201:13,20_2220212201:13):43,(21_2120212201:23,22_2120212201:23):33):54):101);
s4_c6	1	15	15	(((((216_1:15,216_2:15):48,(216_3:10,216_4:10):53):43,((216_5:16,216_6:16):46,(216_7:22,216_8:22):40):44):44,((216_9:53,(216_10:9,216_11:9):43):49,((216_12:2,216_13:2):50,(216_14:7,216_15:7):45):49):49):43,(105_3:48,106_3:49):37);	((((1_0222212201:15,2_0222212201:15):48,(3_0222212201:10,4_0222212201:10):53):43,((5_0222002201:16,6_0222002201:16):46,(7_0222002201:22,8_0222002201:22):40):44):44,((9_0122212201:53,(10_0122212201:9,11_0122212201:9):43):49,((12_0122212201:2,13_0122212201:2):50,(14_0122012201:7,15_0122212201:7):45):49):49);
s4_c7	0.25	16	4	(((((216_1:26,216_2:26):34,(216_3:25,216_4:25):35):36,(176_3:18,175_4:17):39):38,(185_3:62,((216_5:18,216_6:18):35,(216_7:20,216_8:20):33):38):43):45,(((216_9:12,216_10:12):37,(216_11:12,216_12:12):37):38,((216_13:19,216_14:19):29,(216_15:14,216_16:14):34):39):93);	((1_1111111111:26,2_1111111111:26):153,(10_1111111111:49,11_1111111001:49):131);
s5_c1	0.9	10	9	(((191_1:31,(216_1:16,216_2:16):39):55,((216_3:23,216_4:23):39,(216_5:18,216_6:18):44):48):53,(((216_7:15,216_8:15):40,(216_9:9,216_10:9):46):60,158_5:59):48);	((1_0111111111:110,((3_1110111101:23,4_1111211101:23):39,(5_1111111101:18,6_1111111101:18):44):48):53,((7_2112211201:15,8_2112111121:15):40,(9_2110011000:9,10_2110011000:9):46):108);
s5_c10	0.81	32	26	(((((216_1:10,216_2:10):42,(216_3:10,216_4:10):42):47,((216_5:7,216_6:7):37,(216_7:3,216_8:3):41):55):56,(((216_9:37,216_10:37):36,(216_11:29,216_12:29):44):42,((216_13:24,216_14:24):46,(216_15:15,216_16:15):55):45):40):50,((((216_17:31,216_18:31):45,(216_19:30,216_20:30):46):44,((216_21:32,216_22:32):44,(216_23:32,216_24:32):44):44):38,(((216_25:21,216_26:21):44,(216_27:20,216_28:20):45):50,((216_29:22,216_30:22):44,(216_31:21,216_32:21):45):49):43):47);	(((((1_0000000221:10,2_0000000221:10):42,(3_0000000221:10,4_0000000221:10):42):47,(5_0000010021:7,6_0000010021:7):92):56,((13_0112211221:24,14_0112211221:24):46,(15_0112212221:15,16_0112212221:15):55):85):50,((((17_2112011221:31,18_2112011221:31):45,(19_2112011221:30,20_2112011221:30):46):44,((21_2112011221:32,22_2112011221:32):44,(23_2112011221:32,24_2112011221:32):44):44):38,(((25_2112210000:21,26_2112000201:21):44,(27_2112211201:20,28_2112211201:20):45):50,((29_2000212000:22,30_2000212000:22):44,(31_2000212021:21,32_2000212021:21):45):49):43):47);
s5_c11	1	8	8	((151_1:20,151_2:20):64,(((216_1:20,216_2:20):41,(216_3:19,216_4:19):42):39,((216_5:13,216_6:13):40,(216_7:10,216_8:10):43):47):47);	(((1_0222000000:20,2_0222000000:20):41,(3_0222000000:19,4_0222000000:19):42):39,((5_0112000000:13,6_0112000000:13):40,(7_0122000000:10,8_0122000000:10):43):47);
s5_c12	0.9	30	27	(((132_1:33,132_2:33):53,((200_1:56,198_2:54):44,((216_1:8,216_2:8):43,(216_3:2,216_4:2):49):64):53):43,(((((216_5:11,216_6:11):38,(216_7:10,216_8:10):39):40,((216_9:12,216_10:12):40,(216_11:16,216_12:16):36):37):38,(((216_13:10,216_14:10):34,(216_15:2,216_16:2):42):40,((216_17:0,216_18:0):45,(216_19:6,216_20:6):39):39):43):42,(((216_21:39,216_22:39):45,(216_23:35,216_24:35):49):43,(((216_25:6,216_26:6):36,(216_27:2,216_28:2):40):39,(216_29:37,216_30:37):45):45):43):41);	(((1_0122210221:8,2_0122210221:8):43,(3_0212210221:2,4_0212210221:2):49):160,(((((5_2102120202:11,6_2102120202:11):38,(7_2102120202:10,8_2102120202:10):39):40,(9_2102000000:52,12_2202000000:52):37):38,(((13_2102212202:10,14_2102212202:10):34,(15_2102212101:2,16_2102212101:2):42):40,(17_2102210101:45,(19_2102210101:6,20_2102210101:6):39):39):43):42,(((21_2100001201:39,22_2100001201:39):45,(23_0100001201:35,24_1100001201:35):49):43,(((25_2100002001:6,26_2100002001:6):36,(27_2100002001:2,28_2100002001:2):40):39,(29_2100002001:37,30_2100002001:37):45):45):43):41);
