tree_id	rho	n_full	n_sampled	tree_full	tree_sampled
s13_c1	0.85	46	39	(((((216_1:41,216_2:41):47,(216_3:38,216_4:38):50):49,((216_5:28,216_6:28):56,(216_7:30,216_8:30):54):53):48,(((216_9:24,216_10:24):50,(216_11:21,216_12:21):53):64,((216_13:35,216_14:35):48,(216_15:30,216_16:30):53):55):47):26,(((((216_17:24,216_18:24):34,(216_19:24,216_20:24):34):38,((216_21:27,216_22:27):32,(216_23:24,216_24:24):35):37):49,(((216_25:23,216_26:23):33,(216_27:19,216_28:19):37):41,((216_29:18,216_30:18):33,(216_31:16,216_32:16):35):46):48):43,((((216_33:4,216_34:4):40,(216_35:10,216_36:10):34):47,((216_37:13,216_38:13):38,(216_39:4,216_40:4):47):40):47,((216_41:14,216_42:14):79,((216_43:17,216_44:17):34,(216_45:18,216_46:18):33):41):46):50):22);	(((((1_2110101001:41,2_2112111221:41):47,(3_2100101000:38,4_2102110021:38):50):49,((5_2112111221:28,6_2112111221:28):56,(7_1111001211:30,8_1111001211:30):54):53):48,(((9_2112111211:24,10_0112210011:24):50,12_2112101000:74):64,((13_2000100021:35,14_2000100021:35):48,(15_2100101021:30,16_2100101021:30):53):55):47):26,(((((17_2111101021:24,18_2111101021:24):34,(19_2111101011:24,20_2111101011:24):34):38,((21_2111101021:27,22_2110101021:27):32,(23_2111101001:24,24_2112111001:24):35):37):49,(((25_1101001020:23,26_1111001000:23):33,(27_2102111000:19,28_1112011011:19):37):41,((29_1111101021:18,30_2100101021:18):33,(31_1112211011:16,32_1112211011:16):35):46):48):43,(((33_1122111121:4,34_1112011201:4):40,(35_1111201221:10,36_2101101000:10):34):94,((43_2112111001:17,44_2112111001:17):34,(45_2112111001:18,46_2112111000:18):33):87):50):22);
s13_c2	0.75	24	18	((((199_1:65,(216_1:39,216_2:39):42):45,((216_3:33,216_4:33):44,(216_5:34,216_6:34):43):49):44,(((216_7:37,216_8:37):44,(216_9:38,216_10:38):43):44,((216_11:35,216_12:35):45,(216_13:35,216_14:35):45):45):45):41,(((167_9:26,166_10:25):50,((216_15:19,216_16:19):53,190_17:47):52):46,(((216_17:6,216_18:6):37,(216_19:5,216_20:5):38):87,((216_21:12,216_22:12):53,(216_23:23,216_24:23):42):65):40):41);	((((1_1110001221:39,2_1110001221:39):87,((3_2110101221:33,4_2120101221:33):44,(5_2112111221:34,6_2112111221:34):43):49):44,(((7_2111101201:37,8_2111101201:37):44,(9_2112111201:38,10_2112111201:38):43):44,((11_2112111221:35,12_2112111221:35):45,(13_1112111221:35,14_2112111221:35):45):45):45):41,((15_2110101021:19,16_2110101021:19):151,(17_2100101000:130,24_2100101000:130):40):41);
s13_c3	0.75	12	9	((((216_1:31,216_2:31):46,(216_3:25,216_4:25):52):51,((216_5:39,216_6:39):44,(216_7:34,216_8:34):49):45):43,((216_9:40,216_10:40):69,(216_11:66,216_12:66):43):63);	(((1_0102011000:31,2_2002111000:31):97,((5_2102111021:39,6_2102111021:39):44,(7_2100101000:34,8_2002110021:34):49):45):43,(9_2100101000:109,(11_2100101000:66,12_2100101000:66):43):63);
s13_c4	0.79	24	19	((((216_12:57,216_13:57):79,(216_14:63,(216_15:11,216_16:11):51):73):45,(((216_17:4,216_18:4):69,(216_19:12,216_20:12):61):57,((216_21:12,216_22:12):63,(216_23:22,216_24:22):53):55):50):31,((((216_1:35,216_2:35):43,(216_3:24,216_4:24):54):53,((216_5:17,216_6:17):59,(216_7:21,216_8:21):55):55):45,((216_9:48,(216_10:0,216_11:0):47):61,190_8:84):68):35);	(((1_2102111000:136,(2_2100101000:11,3_2100101000:11):124):45,(((4_2121101121:4,5_2121101121:4):69,(6_2121101101:12,7_2121101101:12):61):57,((8_2211100221:12,13_2111101221:12):63,(15_2110101221:22,16_2111101221:22):53):55):50):31,(((17_2122111100:35,18_2122111100:35):43,(19_2122111100:24,20_2122111100:24):54):53,((21_0111001001:17,22_0111001001:17):59,(23_2101101001:21,24_0101001001:21):55):55):80);
s14_c2	0.94	16	15	((((216_1:14,216_2:14):44,(216_3:14,216_4:14):44):48,((216_5:18,216_6:18):44,(216_7:20,216_8:20):42):44):48,(((216_9:9,216_10:9):39,(216_11:10,216_12:10):38):50,((216_13:6,216_14:6):48,(216_15:17,216_16:17):37):44):56);	(((2_1100001000:58,(3_1100010000:14,4_1100001000:14):44):48,((5_1102111000:18,6_2100111000:18):44,(7_1100101000:20,8_1100001000:20):42):44):48,(((9_2120100100:9,10_2220102101:9):39,(11_2220102200:10,12_2100101000:10):38):50,((13_2020100101:6,14_2020100101:6):48,(15_2020100101:17,16_2020100101:17):37):44):56);
s14_c3	0.6	15	9	((((192_9:50,207_14:65):53,(184_11:27,183_12:26):68):48,((202_14:59,211_14:68):52,((195_13:9,195_14:9):44,(216_14:31,216_15:31):43):50):50):37,((((216_1:18,216_2:18):44,(216_3:18,216_4:18):44):47,((216_5:22,216_6:22):38,(216_7:17,216_8:17):43):49):56,(((216_9:9,216_10:9):53,216_11:63):49,(216_12:59,216_13:59):53):54):46);	(((1_2120101121:18,2_2120101121:18):91,((5_2110101210:22,6_2100101210:22):38,(7_2100101200:17,8_2100101200:17):43):49):56,((9_2100101000:9,10_2102111000:9):102,12_2100101000:112):54);
s14_c4	1	7	7	(79_1:53,(((201_1:10,216_1:25):59,(216_2:31,216_3:31):53):47,((216_4:23,216_5:23):63,(216_6:30,216_7:30):56):45):56);	((1_2110101021:84,(2_2112111021:31,3_2112111021:31):53):47,((4_2112111000:23,5_2102111000:23):63,(6_2102111000:30,7_2102111000:30):56):45);
s14_c5	0.93	27	25	(((111_1:42,(((216_1:17,216_2:17):41,(216_3:15,216_4:15):43):48,155_2:47):38):36,((((216_5:18,216_6:18):34,(216_7:15,216_8:15):37):46,((216_9:8,216_10:8):44,(216_11:12,216_12:12):40):46):44,(((216_13:13,206_13:3):46,(216_14:14,216_15:14):45):48,((216_16:10,216_17:10):52,(216_18:19,216_19:19):43):45):35):38):30,((147_7:65,((216_20:18,216_21:18):48,(216_22:15,216_23:15):51):66):46,(((216_24:15,216_25:15):52,(216_26:15,216_27:15):52):60,167_15:80):51):33);	((((1_2100101000:17,2_2100101000:17):41,(3_2100101000:15,4_2101101000:15):43):122,((((5_2100121000:18,6_2100121000:18):34,(7_2100121000:15,8_2000120000:15):37):46,((9_2122211121:8,10_2122111121:8):44,(11_2122111021:12,12_2112112021:12):40):46):44,((13_0112211200:59,(14_0112011200:14,15_0112011200:14):45):48,((16_2100111000:10,17_2100101000:10):52,19_2100101000:62):45):35):38):30,(((20_0112211200:18,21_0111011000:18):48,(22_2121101100:15,23_2121101100:15):51):112,((24_2110101000:15,25_2110101000:15):52,26_2210100001:67):111):33);
s14_c6	0.79	14	11	((96_1:39,96_2:39):50,((((216_1:4,216_2:4):39,216_3:44):55,(216_4:37,(216_5:1,216_6:1):35):62):56,(((216_7:8,216_8:8):36,(216_9:12,216_10:12):32):50,((216_11:2,216_12:2):41,(216_13:0,216_14:0):43):51):60):52);	((((1_2100101100:4,2_1101021101:4):39,3_2121121101:44):55,(4_0001200201:37,(5_1110001201:1,6_1110001201:1):35):62):56,(((7_2102211221:8,8_2112111221:8):36,(9_2102111221:12,10_2102111221:12):32):50,14_2100101000:94):60);
s15_c1	0.93	14	13	((((216_1:17,216_2:17):70,(216_3:30,216_4:30):57):56,((216_5:36,216_6:36):56,(216_7:39,216_8:39):53):51):45,(((216_9:23,216_10:23):56,(216_11:28,216_12:28):51):53,((216_13:25,216_14:25):51,195_14:56):56):56);	(((2_2102111000:87,(3_2100101000:30,4_0100001000:30):57):56,((5_0122011101:36,6_0112011201:36):56,(7_0122011101:39,8_0112011201:39):53):51):45,(((9_1212210021:23,10_0112011021:23):56,(11_2212110021:28,12_2212110021:28):51):53,(13_0110201021:25,14_0110201021:25):107):56);
s15_c2	1	19	19	((((216_1:41,216_2:41):65,(216_3:45,216_4:45):61):60,(((216_5:4,216_6:4):51,(216_7:2,216_8:2):53):54,((216_9:8,216_10:8):52,(216_11:6,216_12:6):54):49):56):41,((216_13:79,(216_14:16,216_15:16):62):78,((216_16:28,216_17:28):59,(216_18:27,216_19:27):60):69):51);	((((1_1111001011:41,2_1111101001:41):65,(3_2111101221:45,4_2112111201:45):61):60,(((5_1101001221:4,6_1111001001:4):51,(7_2111101221:2,8_2111101201:2):53):54,((9_2222112101:8,10_2222112101:8):52,(11_2212110000:6,12_2202110000:6):54):49):56):41,((13_2110101001:79,(14_0110201001:16,15_0110201001:16):62):78,((16_2100101000:28,17_1111001001:28):59,(18_2112111000:27,19_2100101000:27):60):69):51);
s15_c3	0.62	8	5	((117_1:43,((214_1:29,213_2:28):56,190_3:62):53):46,(((216_1:49,216_2:49):45,(216_3:46,216_4:46):48):46,((216_5:25,216_6:25):64,(216_7:43,216_8:43):46):51):46);	(((1_2102111000:49,2_1102211000:49):45,(3_1122211100:46,4_1102111200:46):48):46,8_1122211101:140);
s15_c4	0.93	15	14	((((216_1:11,216_2:11):46,216_3:58):66,((216_4:9,216_5:9):48,(216_6:15,216_7:15):42):66):56,(((216_8:20,216_9:20):44,(216_10:21,216_11:21):43):58,((216_12:24,216_13:24):48,(216_14:22,216_15:22):50):50):57);	(((1_2001120012:11,2_2001120012:11):112,((4_2100121100:9,5_2120121100:9):48,(6_2120121100:15,7_2120121100:15):42):66):56,(((8_0122011121:20,9_2102111000:20):44,(10_2122111221:21,11_2122111221:21):43):58,((12_2102111221:24,13_2102111221:24):48,(14_2112111221:22,15_2102112221:22):50):50):57);
s15_c5	0.83	12	10	((117_1:45,123_1:51):43,(((216_1:6,216_2:6):83,(216_3:22,216_4:22):67):54,(((216_5:7,216_6:7):40,(216_7:13,216_8:13):34):47,((216_9:13,216_10:13):34,(216_11:13,216_12:13):34):47):48):42);	((3_0102011000:22,4_2102101000:22):121,(((5_2100111200:7,6_2102111201:7):40,(7_2102111201:13,8_2102111201:13):34):47,((9_2112111201:13,10_2112111201:13):34,(11_2112111001:13,12_2112111001:13):34):47):48);
