tree,ntips,origin,treeHeight,treeLength
1,10,69.8625181554966,58.1446662758933,403.748682499855
2,10,75.3001398475387,63.7155522876875,404.825365400624
3,10,79.1866121215417,66.7053880042187,429.224625518246
4,10,68.2274772234346,61.2427631864717,402.517973146499
5,10,87.5490807363892,71.6256243606316,396.09586782336
6,10,75.8810366988961,60.1641447471185,378.697658781295
7,10,68.9154012839879,56.6863389293512,378.412512833912
8,10,81.691600258499,73.9669100839567,515.706629651562
9,10,92.9909510678502,76.074558154982,411.286553765175
10,10,76.1903975571515,58.6824893839186,378.742964597958
1,100,109.837028937271,95.9551524836422,4099.46749445441
2,100,107.75818500201,95.2507256493542,4329.99034885302
3,100,119.191535792952,110.717684486168,4134.64581216609
4,100,103.995587615791,98.7742782723711,4376.06254185121
5,100,125.309945777223,109.740346373557,4283.14054460653
6,100,120.864001578639,104.83522433904,4417.08558660242
7,100,133.319280307391,112.49309870017,4337.6792588677
8,100,112.400121187751,98.2827136339384,4363.66431047275
9,100,134.122616443472,95.1125977981929,4340.66155260168
10,100,115.792083297768,107.064963412275,4236.27770508804
1,1000,141.560852100262,134.13524660597,42487.1858876484
2,1000,158.034371791953,136.800163279716,42585.7777503098
3,1000,173.595353566778,147.479759066174,43583.5587866044
4,1000,162.817880672152,146.548562323944,42858.8909958386
5,1000,144.345919686535,139.906709808852,42776.8375182942
6,1000,149.117716369645,142.389621327576,42858.4272905992
7,1000,146.323354945116,137.977273462728,41948.0900074681
8,1000,145.245599941174,138.088967285162,42213.9622504034
9,1000,147.308713074695,141.072326083961,43093.5213258835
10,1000,144.166296511335,137.021205073442,42433.9647684274
1,5000,169.557436186392,156.367051857147,212541.759401671
2,5000,179.299430728616,164.057848797212,212798.977507813
3,5000,174.472275801028,165.686892125982,210655.520182507
4,5000,181.071358383255,164.908602606681,213157.505855277
5,5000,172.334146607878,165.464152377704,213553.914792393
6,5000,175.870923266781,166.128664207126,212857.318422768
7,5000,184.130317854103,171.082210736197,211177.265777433
8,5000,171.469845753111,164.978856406402,211087.923411264
9,5000,170.905397599379,159.948910921603,212603.776524852
10,5000,173.613880278573,169.416705693694,212252.565086547
