tree,deathprob,exact_logL,approx_logL
10,0.10,-55377.59997148193,-55326.385971978394
10,0.12,-55402.91974353155,-55364.67568123434
10,0.14,-55468.75434717228,-55440.69573298612
10,0.16,-55572.77995361507,-55552.70007146015
10,0.18,-55713.38354714417,-55699.50539511976
10,0.20,-55889.446520547135,-55880.32706523136
10,0.22,-56100.20776377112,-56094.67271973535
10,0.24,-56345.171442504536,-56342.26868063169
10,0.26,-56624.041408079735,-56623.00605664925
10,0.28,-56936.67219384173,-56936.89930625548
10,0.30,-57283.03079602837,-57284.05289624997
2,0.00,-56183.13673659891,-55964.27513893403
2,0.01,-55991.682039340776,-55812.26950824553
2,0.02,-55846.93493669809,-55694.22236025905
2,0.03,-55730.308456555686,-55598.716991876034
2,0.04,-55635.51681826075,-55521.411339714454
2,0.05,-55559.084251160646,-55459.803478235044
2,0.06,-55498.76154796423,-55412.24932260139
2,0.07,-55452.96565996702,-55377.55792259812
2,0.08,-55420.520851037625,-55354.84005443819
2,0.09,-55400.52251863961,-55343.403257962185
2,0.10,-55392.2567876314,-55342.69835426267
2,0.11,-55395.14944593994,-55352.28211933231
2,0.12,-55408.73234022771,-55371.79351388809
2,0.13,-55432.61984917794,-55400.93535983522
2,0.14,-55466.49204482215,-55439.4623581689
2,0.15,-55510.082140188235,-55487.171545648336
3,0.00,-56114.81779711948,-55905.23241301722
3,0.01,-55923.00141396859,-55751.94852555578
3,0.02,-55784.625235788124,-55639.314282253436
3,0.03,-55675.13294411621,-55550.064443345116
3,0.04,-55587.508138580924,-55479.1472775537
3,0.05,-55518.048065698815,-55423.83504065096
3,0.06,-55464.415881872585,-55382.371435347915
3,0.07,-55424.99268170577,-55353.520260659396
3,0.08,-55398.58997891197,-55336.373917390825
3,0.09,-55384.30070910127,-55330.22749418888
3,0.10,-55381.413306808514,-55334.526987504476
3,0.11,-55389.35813136011,-55348.82937894091
3,0.12,-55407.67250842447,-55372.773783795245
3,0.13,-55435.97639286333,-55406.0649810809
3,0.14,-55473.95526568948,-55448.4598327235
3,0.15,-55521.34744338857,-55499.75768797732
4,0.00,-56184.470723203936,-55952.61280691615
4,0.01,-55982.68498434372,-55797.64287620165
4,0.02,-55836.04096926695,-55679.17704116069
4,0.03,-55719.276722385606,-55584.23550176349
4,0.04,-55625.0904127196,-55507.949252709586
4,0.05,-55549.633778704716,-55447.60074398156
4,0.06,-55490.48480110199,-55401.41965966761
4,0.07,-55445.96702844178,-55368.16826685205
4,0.08,-55414.85015947438,-55346.90962514186
4,0.09,-55396.19600482924,-55336.93494870576
4,0.10,-55389.26865029227,-55337.67689988533
4,0.11,-55393.47928532876,-55348.68097019538
4,0.12,-55408.349785857754,-55369.57910144338
4,0.13,-55433.48777973057,-55400.06884205589
4,0.14,-55468.568673116766,-55439.90097132807
4,0.15,-55513.322609402436,-55488.86984166893
2,0.055,-55527.019755053356,-55434.35272957501
2,0.065,-55474.12883234539,-55393.3573157846
2,0.075,-55435.13612508034,-55364.7495198651
2,0.085,-55409.01423825404,-55347.74868582715
2,0.095,-55394.96178794895,-55341.73915984883
2,0.105,-55392.33974819119,-55346.22850347279
2,0.115,-55400.63042544531,-55360.81680039247
2,0.125,-55419.409384212515,-55385.17705584283
2,0.135,-55448.325658792346,-55419.03929824838
2,0.145,-55487.08722667555,-55462.18041373617
3,0.055,-55489.36720079993,-55401.45843641985
3,0.065,-55443.01035886925,-55366.430665810694
3,0.075,-55410.225838812294,-55343.5322497159
3,0.085,-55389.97946897728,-55331.963256222385
3,0.095,-55381.47022594919,-55331.10168295984
3,0.105,-55384.062779762666,-55340.45209572419
3,0.115,-55397.24458893188,-55359.61615012885
3,0.125,-55420.59678715909,-55388.26732702267
3,0.135,-55453.773926041475,-55426.13788148873
3,0.145,-55496.48925775565,-55473.00702022384
4,0.055,-55518.138510215926,-55422.82364614322
4,0.065,-55466.4821220059,-55383.24224569887
4,0.075,-55428.79764180789,-55356.0874636852
4,0.085,-55404.01520649209,-55340.55037033103
4,0.095,-55391.30623575541,-55335.99697097667
4,0.105,-55390.01385983206,-55341.92067583749
4,0.115,-55399.60833613349,-55357.913678919664
4,0.125,-55419.6570554643,-55383.641722722605
4,0.135,-55449.80338443426,-55418.830861384515
4,0.145,-55489.75152637319,-55463.25471736926
