tree,param,value,logL,method
6,lifetime,4.2,-615.7766404892973,bdmm
6,lifetime,4.4,-615.1379554314884,bdmm
6,lifetime,4.6,-614.9508383078163,bdmm
6,lifetime,4.8,-615.1387196625203,bdmm
6,lifetime,5.0,-615.6385914044686,bdmm
6,lifetime,5.2,-616.3983100432422,bdmm
6,lifetime,5.4,-617.3745053254713,bdmm
6,lifetime,5.6,-618.5309422564253,bdmm
6,lifetime,5.8,-619.8372266136516,bdmm
6,lifetime,6.0,-621.267773476211,bdmm
6,lifetime,6.2,-622.8009791267127,bdmm
6,lifetime,6.4,-624.4185516314344,bdmm
6,lifetime,6.6,-626.1049662596511,bdmm
6,lifetime,6.8,-627.8470198767038,bdmm
6,lifetime,7.0,-629.6334643637604,bdmm
6,lifetime,7.2,-631.4547035537834,bdmm
6,lifetime,7.4,-633.3025415298436,bdmm
6,lifetime,7.6,-635.169972693518,bdmm
6,lifetime,7.8,-637.0510059819339,bdmm
6,lifetime,8.0,-638.9405171399069,bdmm
6,lifetime,8.2,-640.8341241466145,bdmm
6,lifetime,8.4,-642.728081834053,bdmm
6,lifetime,8.6,-644.6191924763782,bdmm
6,lifetime,8.8,-646.5047297195918,bdmm
6,lifetime,9.0,-648.3823736934764,bdmm
6,lifetime,9.2,-650.2501555277406,bdmm
6,lifetime,9.4,-652.106409801609,bdmm
6,lifetime,9.6,-653.9497337056963,bdmm
6,lifetime,9.8,-655.7789518986265,bdmm
6,lifetime,10.0,-657.5930862077092,bdmm
6,deathprob,0.00,-615.6047339450884,bdmm
6,deathprob,0.01,-615.3034568534777,bdmm
6,deathprob,0.02,-615.0661525031787,bdmm
6,deathprob,0.03,-614.8941922309695,bdmm
6,deathprob,0.04,-614.7889650274319,bdmm
6,deathprob,0.05,-614.7518760696491,bdmm
6,deathprob,0.06,-614.7843450562921,bdmm
6,deathprob,0.07,-614.8878043329237,bdmm
6,deathprob,0.08,-615.0636967958058,bdmm
6,deathprob,0.09,-615.3134735632304,bdmm
6,deathprob,0.10,-615.6385914044686,bdmm
6,deathprob,0.11,-616.040509917879,bdmm
6,deathprob,0.12,-616.5206884516111,bdmm
6,deathprob,0.13,-617.0805827627189,bdmm
6,deathprob,0.14,-617.721641413429,bdmm
6,deathprob,0.15,-618.445301906841,bdmm
6,deathprob,0.16,-619.252986568501,bdmm
6,deathprob,0.17,-620.146098185141,bdmm
6,deathprob,0.18,-621.126015417409,bdmm
6,deathprob,0.19,-622.1940880096413,bdmm
6,deathprob,0.20,-623.3516318266115,bdmm
6,deathprob,0.21,-624.5999237546578,bdmm
6,deathprob,0.22,-625.9401965125579,bdmm
6,deathprob,0.23,-627.3736334258167,bdmm
6,deathprob,0.24,-628.9013632264666,bdmm
6,deathprob,0.25,-630.5244549488277,bdmm
6,deathprob,0.26,-632.2439129995885,bdmm
